partnername,Circle,count(*),AVG(delaydays)
M/s. Sarovar Polymers Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",10,30.7
M/s. Sachdeva Metal works,"P. H. Circle, Mahesana",23,72.23809523809524
Kelvin Plastic Pvt. Ltd.,,26,35.76923076923077
M/s. Sachdeva Metal works,"P .H .Circle, Himatnagar",13,181.84615384615384
M/s. Hawa Engineers Ltd,"P. H. Circle, Porbandar",5,96.0
M/s. Bikaner Engineering Works,"P. H. Circle, Bhavnagar",11,158.27272727272728
M/s. Lubi Industries LLP.,"P. H. Mech. Circle, Ahmedabad",195,47.55897435897436
M/s. Agarwal Industries,"P. H. Circle, Vadodara",1,335.0
M/s. Sachdeva Metal works,"P. H. Circle, Junagadh",4,58.0
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Bhavnagar",1,793.0
Mayfair Polymers Pvt. Ltd,,6,38.5
"Gacl,Vadodara","P. H. Circle, Surat",43,259.2857142857143
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Palanpur",1,183.0
M/s. Bikaner Engineering Works,"P. H. Circle, Junagadh",2,208.0
M/s. Lubi Industries LLP.,"P. H. Circle, Bhuj",41,274.9
M/S. La-Gajjar Machineries Pvt. Ltd.,"P. H. Mech. Circle, Rajkot",8,134.625
M/s. Duke Pipes Pvt. Ltd.,"P. H. Mech. Circle, Surat",11,41.9
"Gacl,Vadodara","P. H. Circle, Rajkot",54,112.28571428571429
M/s. Sabar Pumps Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",7,20.666666666666668
M/S. Apollo Screens Pvt. Ltd.,"P. H. Mech. Circle, Surat",2,94.0
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Anjar",10,5.2
Yogicab Insulation Pvt. Ltd,"P. H. Mech. Circle, Ahmedabad",70,26.34426229508197
M/s. Duke Plasto Technique Pvt. Ltd.,"P. H. Mech. Circle, Vadodara",1,
M/s. Bir Industries,"P. H. Circle, Godhara",5,0.0
M/s. Deep Well Pumps And Engineering Company,"P. H. Mech. Circle, Ahmedabad",227,9.65929203539823
Ketan Engineering Works,"P. H. Circle, Bhuj",23,195.82608695652175
M/s. Bikaner Engineering Works,"P .H .Circle, Himatnagar",30,122.0
M/s. Ashish Pumps Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",279,14.519713261648745
M/s. Silver Consumer Electricals Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",14,13.875
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Godhara",4,67.0
Polysil Pipes Silvassa,,19,50.21052631578947
M/s. Essem Engineering Industries,"P. H. Circle, Palanpur",1,183.0
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Bhuj",6,199.5
M/s. Bikaner Engineering Works,"P. H. Circle, Rajkot",12,154.0
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Anjar",1,228.0
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Surat",7,826.3333333333334
IMF Polymers LLP,"P. H. Mech. Circle, Ahmedabad",12,3.4545454545454546
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Bhuj",25,55.4
M/s. Duke Plasto Technique Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",12,18.333333333333332
M/s. Essem Engineering Industries,"P. H. Circle, Ahmedabad",2,28.5
M/s. Sachdeva Metal works,"P. H. Circle, Bhuj",7,105.85714285714286
M/s. Bikaner Engineering Works,"P. H. Circle, Anjar",9,
M/s. Deep Well Pumps And Engineering Company,"P. H. Mech. Circle, Vadodara",3,82.0
Venus Engineering works,"P. H. Circle, Rajkot",3,67.0
M/s. Vimal Pumps Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",12,51.333333333333336
M/s. Sia Engineering Projects India Pvt.Ltd,"P. H. Mech. Circle, Ahmedabad",168,32.355704697986575
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Mahesana",8,843.4
M/s. Dutron Polymer,,37,74.97297297297297
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Ahmedabad",9,78.0
M/S. Apollo Screens Pvt. Ltd.,,1,
Venus Engineering works,"P .H .Circle, Himatnagar",8,65.25
M/s. Agarwal Industries,"P. H. Circle, Surat",1,91.0
M/s. Aqseptance Group (India) Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",10,37.5
"Shri Om Engineers And Contractores , Upleta",,1,
M/s. Agarwal Industries,"P. H. Circle, Bhuj",1,229.0
M/s. Sachdeva Metal works,"P. H. Circle, Godhara",8,49.5
M/S. Techno Industries Ltd,"P. H. Mech. Circle, Rajkot",4,111.75
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Bhavnagar",10,110.28571428571429
Venus Engineering works,"P. H. Circle, Valsad",2,66.0
M/s. Dutron Polymer,"P. H. Circle, Anjar",19,40.526315789473685
M/s. Superstar Cables Industries,"P. H. Mech. Circle, Ahmedabad",15,30.0
M/s. Krunal Engineering Co.,"P. H. Circle, Bhavnagar",11,164.72727272727272
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Vadodara",13,161.76923076923077
M/s. Sarovar Polymers Pvt. Ltd.,"P. H. Mech. Circle, Rajkot",1,1.0
M/s. Krunal Engineering Co.,"P. H. Circle, Bhuj",15,195.66666666666666
Ketan Engineering Works,"P. H. Circle, Porbandar",3,162.0
